date_time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),latitude,longitude,elevation,river_discharge,intensity_rain,intensity_flood,intensity_drought
2009-01-01,51.0,30.6,26.6,28.3,37.3,31.0,33.7,0.5,0.5,3.0,16.0,29.2,209.0,3.89,6.0999985,1.1000061,8.0,0.11,0,0,0
2009-01-02,55.0,30.4,26.1,27.7,36.9,30.8,32.8,1.8,1.8,4.0,12.7,31.0,201.0,3.85,6.0999985,1.1000061,8.0,0.11,0,0,0
2009-01-03,53.0,30.4,25.3,27.6,36.2,30.5,33.0,0.7,0.7,2.0,11.5,22.7,206.0,3.66,6.0999985,1.1000061,8.0,0.11,0,0,0
2009-01-04,51.0,29.9,25.3,27.5,35.6,29.7,32.1,0.7,0.7,4.0,15.5,28.4,218.0,3.89,6.0999985,1.1000061,8.0,0.11,0,0,0
2009-01-05,3.0,31.5,25.3,28.0,37.3,29.6,32.5,0.0,0.0,0.0,15.3,30.2,228.0,4.51,6.0999985,1.1000061,8.0,0.11,0,0,0
2009-01-06,53.0,31.4,25.9,28.1,37.2,30.7,32.9,0.8,0.8,1.0,16.3,31.0,214.0,4.23,6.0999985,1.1000061,8.0,0.11,0,0,0
2009-01-07,51.0,31.3,26.1,28.3,37.8,30.9,33.3,0.1,0.1,1.0,15.7,29.9,220.0,4.36,6.0999985,1.1000061,8.0,0.11,0,0,0
2009-01-08,55.0,31.3,26.2,28.4,37.1,30.9,33.0,1.2,1.2,2.0,18.7,41.0,218.0,4.13,6.0999985,1.1000061,8.0,0.11,0,0,0
2009-01-09,51.0,31.0,26.3,28.1,35.6,30.7,32.6,1.2,1.2,4.0,19.0,33.8,217.0,4.17,6.0999985,1.1000061,8.0,0.11,0,0,0
2009-01-10,63.0,31.4,25.4,27.8,36.9,29.9,32.6,7.7,7.7,8.0,14.5,26.6,227.0,3.65,6.0999985,1.1000061,8.0,0.11,0,0,0
2009-01-11,61.0,31.2,25.7,28.2,35.5,30.7,33.0,2.9,2.9,5.0,15.0,29.5,216.0,3.55,6.0999985,1.1000061,8.0,0.11,0,0,0
2009-01-12,55.0,30.4,25.9,27.9,35.9,30.5,32.6,1.5,1.5,3.0,14.6,33.8,215.0,3.98,6.0999985,1.1000061,8.0,0.11,0,0,0
2009-01-13,53.0,31.0,25.8,28.0,36.9,30.6,33.3,0.6,0.6,2.0,11.5,25.2,196.0,3.98,6.0999985,1.1000061,8.0,0.11,0,0,0
2009-01-14,61.0,31.0,25.2,27.7,38.1,30.2,33.0,2.5,2.5,2.0,15.9,33.8,213.0,3.99,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-15,51.0,31.8,26.3,28.1,36.5,31.2,32.7,0.2,0.2,2.0,18.5,32.8,216.0,4.3,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-16,51.0,30.7,25.8,27.8,35.6,29.7,32.0,0.4,0.4,1.0,19.4,37.1,222.0,4.47,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-17,61.0,31.2,25.6,28.0,36.6,29.6,32.3,2.1,2.1,1.0,18.2,36.4,229.0,4.57,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-18,3.0,31.5,26.0,28.1,36.3,30.6,32.4,0.0,0.0,0.0,19.6,35.6,223.0,4.4,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-19,51.0,31.3,26.2,28.0,34.5,30.4,31.8,0.4,0.4,2.0,16.4,30.6,220.0,3.85,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-20,2.0,31.5,24.6,27.6,34.7,27.9,30.8,0.0,0.0,0.0,14.4,31.3,237.0,4.88,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-21,1.0,31.7,22.5,26.8,33.1,24.7,28.4,0.0,0.0,0.0,14.6,25.2,208.0,5.33,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-22,1.0,32.5,22.4,26.8,32.9,23.1,27.5,0.0,0.0,0.0,18.2,33.5,41.0,5.73,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-23,1.0,31.8,22.0,26.5,31.7,21.7,26.3,0.0,0.0,0.0,17.6,33.5,13.0,5.96,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-24,2.0,31.1,21.7,25.9,31.4,20.4,25.7,0.0,0.0,0.0,13.0,29.5,267.0,5.73,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-25,1.0,32.1,22.7,27.0,33.6,24.2,28.4,0.0,0.0,0.0,15.7,33.1,206.0,5.75,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-26,1.0,31.4,23.8,27.1,35.3,27.3,30.4,0.0,0.0,0.0,17.7,37.1,198.0,5.06,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-27,51.0,31.3,24.2,27.3,36.5,28.1,31.6,0.2,0.2,1.0,19.1,36.7,218.0,4.69,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-28,53.0,31.2,25.4,27.9,36.7,30.1,32.3,0.7,0.7,1.0,18.8,37.8,216.0,4.63,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-29,51.0,31.1,25.6,28.0,36.7,30.3,32.9,0.4,0.4,1.0,15.2,32.0,214.0,4.28,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-30,61.0,31.3,26.0,28.1,37.3,30.8,33.0,2.2,2.2,2.0,15.9,34.2,211.0,4.1,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-01-31,51.0,31.0,25.5,28.0,35.8,29.9,32.4,0.2,0.2,2.0,14.8,30.6,199.0,3.94,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-02-01,51.0,31.8,24.8,27.9,37.4,29.0,32.6,0.2,0.2,1.0,18.2,33.8,208.0,4.6,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-02-02,53.0,31.6,25.9,28.5,37.6,30.1,33.1,0.7,0.7,2.0,19.2,39.6,216.0,4.76,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-02-03,51.0,30.7,25.9,28.1,36.9,30.8,33.1,0.4,0.4,1.0,16.0,34.9,217.0,4.45,6.0999985,1.1000061,8.0,0.09,0,0,0
2009-02-04,53.0,32.1,25.9,28.8,37.9,30.8,33.8,0.8,0.8,1.0,17.5,34.2,215.0,4.49,6.0999985,1.1000061,8.0,0.09,0,0,0
